Année;Périmètre juridique;Legal Perimeter;Périmètre spatial;Spatial Perimeter;Filiere;Sector;Energie produite;Unité;Méthode de consolidation
2010;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;407876.00296000007;GWh;nette
2010;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;45404.8231;GWh;nette
2010;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;16878.505706222215;GWh;nette
2009;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;15975.655719666662;GWh;nette
2009;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;389777.8574663334;GWh;nette
2009;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;41927.90035;GWh;nette
2008;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;15792.357663500012;GWh;nette
2008;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;44926.30226;GWh;nette
2008;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;417628.72186683334;GWh;nette
2007;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;18243.864912166657;GWh;nette
2007;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;41235.65274;GWh;nette
2007;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;418065.4623613335;GWh;nette
2006;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;16881.758688333353;GWh;nette
2006;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;40243.2537;GWh;nette
2006;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;428121.90327999985;GWh;nette
2005;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;21195.9274130001;GWh;nette
2005;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;429210.0170680002;GWh;nette
2005;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;37532.84677;GWh;nette
2004;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;16475.018948000077;GWh;nette
2004;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;426271.5578593333;GWh;nette
2004;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;43929.7972;GWh;nette
2003;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;420650.469;GWh;nette
2003;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;19159.683;GWh;nette
2003;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;44135.05616;GWh;nette
2002;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;19610.3;GWh;nette
2002;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;416499.003;GWh;nette
2002;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;43806.69442;GWh;nette
2001;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;54222.19358;GWh;nette
2001;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;15006.724;GWh;nette
2001;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;401256.432;GWh;nette
2000;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;395199.555;GWh;nette
2000;EDF EPIC + SHEM + CNR;EDF EPIC + SHEM + CNR;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;64314.52797;GWh;nette
2000;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;20944.409;GWh;nette
1999;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;374943.131;GWh;nette
1999;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;24003.532;GWh;nette
1999;EDF EPIC + SHEM + CNR;EDF EPIC + SHEM + CNR;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;68987.362;GWh;nette
1998;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;368117.9;GWh;nette
1998;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;29000.4;GWh;nette
1998;EDF EPIC + SHEM + CNR;EDF EPIC + SHEM + CNR;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;59802.971999999994;GWh;nette
1997;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;375991.156;GWh;nette
1997;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;15555.205;GWh;nette
1997;EDF EPIC + SHEM + CNR;EDF EPIC + SHEM + CNR;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;61669.027;GWh;nette
1996;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;20626.314;GWh;nette
